file_path,metadata
readme.pdf,"{""doc_type"":""spec"",""agency"":""WA Ecology"",""jurisdiction"":""Unknown"",""region"":""Eastern WA"",""program"":""None"",""topic"":[""organization_structure""],""citation"":"""",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""secondary""}"
README.pdf,"{""doc_type"":""regulation"",""agency"":""WA Ecology"",""jurisdiction"":""US"",""region"":""Eastern WA"",""program"":""None"",""topic"":[""contents""],""citation"":"""",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
README.pdf,"{""doc_type"":""spec"",""agency"":""WA Ecology"",""jurisdiction"":""WA"",""region"":""Eastern WA"",""program"":""None"",""topic"":[""contents""],""citation"":"""",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""secondary""}"
README.pdf,"{""doc_type"":""spec"",""agency"":""WA Ecology"",""jurisdiction"":""Unknown"",""region"":""Eastern WA"",""program"":""None"",""topic"":[""contents""],""citation"":"""",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""secondary""}"
README.pdf,"{""doc_type"":""guidance"",""agency"":""WA Ecology"",""jurisdiction"":""Unknown"",""region"":""Eastern WA"",""program"":""None"",""topic"":[""contents""],""citation"":"""",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""secondary""}"
README.pdf,"{""doc_type"":""guidance"",""agency"":""WA Ecology"",""jurisdiction"":""Unknown"",""region"":""Eastern WA"",""program"":""None"",""topic"":[""contents""],""citation"":"""",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""secondary""}"
README.pdf,"{""doc_type"":""guidance"",""agency"":""WA Ecology"",""jurisdiction"":""Unknown"",""region"":""Eastern WA"",""program"":""None"",""topic"":[""contents""],""citation"":"""",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""secondary""}"
README.pdf,"{""doc_type"":""spec"",""agency"":""WA Ecology"",""jurisdiction"":""Unknown"",""region"":""Eastern WA"",""program"":""None"",""topic"":[""contents""],""citation"":"""",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""secondary""}"
